PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100
-2.517692,6.156724,-3.632572,2.232522,2.511027,1.960320,-1.837860,0.483685,-1.415438,-0.636908,0.180740,-0.367203,1.382211,0.403539,-2.501630,-0.087450,1.112879,-1.437896,3.763457,-1.337145,1.806985,-2.927953,1.016537,4.010613,1.428666,0.672621,0.903675,0.484639,1.194008,2.536004,-2.990491,0.672013,0.252051,-0.033923,-2.475124,-0.576693,-0.200187,0.209405,-1.401744,0.434548,0.611249,-1.364237,0.699163,-1.204536,0.034743,-0.340578,-0.670597,0.406839,0.244182,-0.629938,-0.965752,0.433983,1.300066,-0.781537,0.137318,0.326475,-1.095650,0.427726,2.166533,-1.725144,0.050442,-0.335010,-2.184951,-0.225122,-0.045689,-0.004967,1.112411,-1.286633,-0.281068,-0.262942,-1.163980,-0.527117,-0.209425,-0.421684,-0.086501,-1.320176,-0.467747,-0.747328,-1.268422,-0.282722,-1.479005,1.163367,-0.285685,0.113701,-1.096064,1.445975,-0.877508,0.501046,-0.078986,0.533690,0.030823,-0.030260,0.913550,0.512471,0.875437,-0.756012,0.098267,-0.366122,0.362839,-0.571719
-2.110450,-5.867112,-2.237139,-0.700313,0.483540,1.760292,-2.344961,-2.742862,-0.772928,0.795557,3.581309,2.678034,-5.633853,-3.825884,-1.011529,2.551943,2.101258,0.935040,-0.757428,1.593407,0.078630,-1.220500,-0.647344,3.176713,2.690193,0.703578,0.192749,0.019836,3.096861,1.948275,-1.253975,2.805061,-0.834499,0.805447,0.132896,-0.149094,-0.027830,0.981813,-0.770316,-0.292757,0.161917,-0.524333,0.408789,-0.150897,0.163281,0.863153,-0.102481,-1.129841,-0.319995,-0.013656,-0.414050,1.547362,-0.134574,-0.336142,0.450520,1.977334,1.190201,-0.156418,1.480378,0.391701,0.504902,-0.607024,-1.453077,-0.218654,0.528914,-1.137574,0.363876,-0.466344,-0.093384,-0.711992,-0.263069,0.659449,0.001926,-0.415649,-0.127644,-0.168755,-0.754964,-0.225317,-1.067667,0.473194,-0.963493,1.550874,-0.035624,-0.166840,-0.689910,1.541623,0.019726,1.043209,0.294130,-0.574980,0.577904,1.107649,-0.456193,-0.337169,-0.113471,0.572597,0.448173,-0.331908,-0.258021,0.388448
9.676553,-2.953840,-2.695419,8.389830,-0.473730,-1.154688,5.395174,0.127679,-2.874960,-2.215692,3.113660,0.529359,-2.288386,-3.980682,-0.731875,0.372056,-0.705291,0.017941,1.888461,2.699086,1.163765,-0.037806,-1.117003,1.372877,0.936510,0.021195,0.078231,0.372842,-0.005033,1.670236,-1.248697,1.943317,-1.959418,-0.384156,-1.195447,-0.296615,-0.182126,0.611483,1.053845,-0.698862,1.636163,-0.477689,0.246504,0.171546,-0.614010,-1.298576,1.054149,-0.758541,0.843395,0.140025,0.523446,0.406067,0.682122,-0.461693,2.031862,0.273732,-1.626369,1.439059,-0.387552,2.228767,-0.579164,-0.304731,-1.720110,0.418838,-0.184748,-2.234858,-0.774247,1.073906,-0.549775,0.942862,-0.456666,0.486696,0.199929,0.913269,-1.033211,0.441570,-0.940905,0.232015,-0.842980,-0.059515,-1.428305,1.547405,1.029509,0.751328,0.367757,1.316817,0.047279,0.483119,-0.378371,0.759909,-0.162307,0.042736,2.736336,1.825956,0.707761,0.576287,-0.434671,-0.211022,0.138115,-0.524159
-1.280672,-4.684868,-5.208288,3.856295,5.418470,2.272338,-0.055259,3.098747,2.075096,-1.628900,2.086953,1.460759,-4.848384,-3.574993,-0.279989,1.988334,3.079984,-0.910558,-0.842134,0.328760,1.514157,-1.334611,0.932724,2.155744,0.238356,0.882375,2.637208,-1.259479,2.016896,1.377645,-2.468264,1.581831,-1.504538,0.729905,-2.202797,0.224712,-1.150949,-0.696809,-0.361258,0.153394,1.013637,0.468557,0.349824,-1.289777,1.428042,0.035349,0.051856,-0.128192,-0.794416,-0.143500,-0.056242,0.136036,1.135735,-0.315309,1.064921,0.194493,-0.697221,-0.176482,1.882903,-1.025110,0.158711,0.264563,-0.263637,-0.254305,0.675125,-0.417883,-0.200577,-0.637536,-0.175609,-0.602656,-0.958555,-0.891541,-0.238666,-0.098751,0.069048,-0.737134,-0.204390,-0.138747,-0.297049,-0.461778,-1.035563,0.396560,-0.723537,0.551375,-0.019446,0.079149,-0.062003,0.121246,-0.204098,1.082979,1.567278,-0.105219,0.804996,0.774008,-0.014215,-0.357214,0.299412,-1.723716,-0.606955,-0.753283
-2.519477,-1.398811,9.146318,4.933234,2.066983,4.333113,2.182573,-1.122577,-3.812438,-4.772299,-0.715427,-1.595826,-3.318831,-1.253830,0.267298,-0.606897,0.500429,-2.239996,-4.668869,3.377856,5.376657,-3.978828,-1.670838,0.732946,1.521319,-0.359564,-0.859063,0.266863,-0.280080,-1.534674,-0.632710,2.698701,-4.999810,2.145527,-0.497982,0.693977,0.460692,1.367451,-2.985170,1.504448,2.131217,-0.548363,-0.323193,-1.336285,1.835037,-1.676849,0.238177,-1.885849,-0.759692,-0.374879,-0.589197,0.610586,1.264984,0.233069,-0.022360,1.422416,1.112583,1.014338,-0.683986,-1.017303,1.027958,-1.203630,-1.478342,0.636310,1.589437,-0.995628,0.072443,1.365916,-0.365832,0.163159,0.591537,-0.315904,-0.264800,-0.073074,-2.036253,-0.708384,1.585155,0.560187,0.685515,-0.910599,-0.443824,1.963828,0.335692,-0.953723,1.681838,-2.279199,1.538468,-0.899402,0.059035,-1.678947,0.209671,-2.434601,0.341032,0.385521,-0.167839,-0.942754,-0.413027,-2.452579,-0.030389,-0.987468
-3.221416,-4.324578,0.933012,-1.242624,1.018155,6.259050,0.056219,-2.327070,-3.491941,2.064463,2.339702,-0.331584,-3.732160,-2.550092,0.322935,-0.138112,4.200585,-1.540918,1.185132,2.847628,2.348505,-3.854623,-0.409405,2.974329,0.588535,0.373618,-3.172255,0.685081,0.533998,0.429823,-2.681163,-2.318066,-3.588236,-0.288537,-0.945260,-0.131087,4.887792,1.302195,-0.056292,0.738732,-1.063300,0.499197,1.291659,-0.341647,0.926943,0.781821,0.432481,0.172263,-0.732938,0.262217,-0.005094,0.541690,0.788846,1.748000,-0.665061,1.053945,-1.031965,0.241380,-0.988474,-0.715941,0.467119,0.334338,-0.249215,0.764662,0.247687,-0.172321,-0.345255,0.768190,0.848059,1.329221,0.005159,-0.872773,0.037143,-0.083944,0.400302,-0.138782,-0.295465,0.412554,0.955365,0.098579,-0.576634,0.048720,0.015352,-0.378851,0.861319,0.537158,1.240896,0.249958,-0.316837,0.416127,-0.828683,0.970096,1.550420,-0.044862,0.560438,-0.596989,-0.155427,0.040681,1.028731,0.575152
13.304224,-2.625048,-1.912790,8.919828,-1.497071,3.564315,4.665128,-0.626832,-4.332259,1.105103,1.563101,0.187663,-4.340077,-3.562565,-1.066767,3.790206,3.919695,0.705625,1.710500,2.926853,1.172839,-1.910034,0.576225,2.252616,0.577064,0.702747,0.959041,-0.273197,1.262174,0.078575,-1.578088,-0.049121,-1.914414,0.450782,-0.528659,0.285378,-0.700327,-1.783242,-0.623028,-1.435600,-0.799197,0.654738,0.302255,-0.569174,1.580390,-1.131125,0.011190,0.475138,-1.821825,0.784228,-0.733849,0.564876,-1.065621,0.457585,-1.396184,1.023813,-0.477236,0.524075,0.628232,-2.749824,0.932180,0.101486,0.443111,0.282656,1.048022,-1.174230,0.939692,0.382624,0.374238,1.287826,0.257559,0.964510,-1.706047,0.209440,0.282587,-0.215345,-0.212341,-0.353430,0.219712,-0.220082,-1.393372,1.292094,0.989714,0.303798,1.081077,0.725306,1.043219,0.820849,-1.147900,0.836278,0.326206,-0.466071,0.206770,0.419488,-0.108293,-1.833884,0.566864,-0.465717,-0.479361,0.377836
-5.437123,-3.282599,10.895975,3.742368,4.946695,6.686776,1.889925,-1.818062,-3.462519,1.145930,1.750737,-0.447850,-4.293566,-3.396628,2.098685,4.172567,5.650885,-1.316820,3.917478,-4.811141,0.795232,1.204518,-1.885532,-0.349815,3.251462,-1.363187,1.635262,0.405566,0.947021,-0.286408,1.680001,-0.233888,-2.107431,-2.680421,-0.329136,0.112145,3.382750,1.035316,-0.621096,0.642408,1.648526,-0.870833,0.186632,1.397836,1.055508,-1.032662,0.279845,-0.162114,0.215140,-1.115522,1.870379,-0.884412,-1.695030,-1.277036,-0.342492,-0.620440,0.910892,1.023578,2.327291,-1.887217,-1.404842,-1.224792,-0.024908,0.596284,-0.031303,-0.751227,-1.465701,-0.124945,-0.751401,-1.351937,0.155860,-0.029277,-1.007310,0.643533,-1.213544,-0.624124,-0.696023,0.009010,0.635876,-0.080540,-0.980386,0.349155,0.282484,-0.498446,-1.084535,-0.614959,-1.079338,0.769782,0.267906,0.458729,-0.232939,0.255526,1.117893,-0.116937,0.440550,-0.585114,-0.144023,-0.301820,-1.438830,0.672610
-1.915163,-4.304854,-1.239941,-1.261781,-1.971277,2.897558,-2.464244,-3.343414,-2.341237,-1.621127,3.075966,2.728363,-5.094962,-5.055276,-3.213080,2.736713,2.197408,0.701943,-0.855193,1.719004,-0.957365,-1.643946,-0.083686,1.941993,2.415133,-0.343547,0.127842,-0.194043,0.479224,0.861329,-1.000152,1.972330,-2.428682,-0.574117,-0.305002,-0.373711,-0.887930,0.518111,-0.001535,-0.532047,-0.419897,0.052791,-1.381366,-0.308808,1.038577,-0.292805,1.109794,-0.307148,-0.604350,0.237700,-0.191224,2.459267,0.477699,0.315653,2.474321,0.269092,-0.183773,0.721389,0.133928,-0.608379,0.563282,0.434773,-0.712559,-0.722004,0.671326,-0.998760,-0.065640,0.580154,1.549706,0.772929,-0.333446,1.303420,-0.036055,0.981167,-0.073517,0.714931,-0.464611,-0.639705,-0.092573,-0.302450,-1.284317,1.042352,0.379065,-0.434028,-0.475957,0.108178,-0.286551,0.587478,1.138799,0.101166,0.016748,-0.075980,0.913489,0.915109,0.109860,-0.247815,0.130578,-1.594774,-0.639686,-0.736223
-3.343026,-0.061709,-5.171677,3.669678,4.967618,3.990265,-0.088800,4.228268,-0.667312,-1.932207,2.003275,0.855480,-4.037381,-3.510995,-1.215612,4.159687,3.860335,1.222002,-1.139294,2.381030,1.148254,-0.027307,-0.725918,2.439419,-0.447865,1.200855,1.609590,-0.285026,0.619455,1.121443,-1.740897,1.195924,-1.725616,0.264817,0.101257,0.108220,0.302421,-0.911609,0.118770,-0.311614,0.273027,0.291637,-0.109528,-0.478757,1.355033,0.045623,-1.663434,0.017287,-1.530032,-0.098062,-0.253334,0.201374,-0.631062,-0.700034,1.152222,0.117037,-0.421228,0.557531,0.409325,-1.103699,-0.170878,-0.026484,0.260447,-0.258233,-0.475439,-0.988502,0.021105,0.489099,-0.104312,-0.058025,0.056463,0.599552,0.059464,0.318015,-0.480973,-0.211689,0.131453,-0.042344,-1.821119,-0.052210,-0.814984,-0.112048,-0.407263,-0.429581,0.086853,-0.169321,0.268347,1.150761,-0.432725,0.201513,-0.073248,-0.875732,-0.361562,0.471039,-0.148014,-0.491254,-0.122873,-0.881520,-0.915876,0.069485
